<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200803,000000,206.0300000,210.7700000,204.0000000,209.8200000,8328350
20200804,000000,210.4000000,211.6200000,208.6200000,210.4000000,5529830
20200805,000000,210.8400000,211.5000000,208.2100000,209.3500000,8866980
20200806,000000,209.0600000,210.1200000,208.0000000,209.4500000,4199850
20200807,000000,209.2000000,210.9200000,208.5200000,210.6000000,4787590
20200810,000000,211.0000000,211.9100000,209.2200000,210.6400000,4314330
20200811,000000,210.7500000,216.4000000,210.7500000,214.0600000,9403900
20200812,000000,214.5200000,220.6400000,214.5000000,220.5000000,12178490
20200813,000000,220.0700000,222.5700000,218.2300000,220.0100000,9460000
20200814,000000,220.2200000,220.5000000,217.2200000,219.2700000,7803060
20200817,000000,220.2500000,220.7100000,215.5000000,217.7900000,8775390
20200818,000000,217.6200000,218.4300000,215.4400000,216.3000000,7425010
20200819,000000,216.1000000,219.4300000,215.0900000,218.1500000,5078680
20200820,000000,217.6000000,217.9100000,213.7000000,215.5000000,10955550
20200821,000000,216.0300000,220.9000000,213.2000000,217.7100000,20855950
20200824,000000,218.9700000,219.7600000,217.6000000,218.9500000,7133370
20200825,000000,219.4200000,219.8000000,216.0000000,216.9900000,8297960
20200826,000000,216.8000000,217.6400000,214.8200000,217.4000000,8689390
20200827,000000,217.8400000,218.0800000,215.6600000,216.6000000,7077060
20200828,000000,217.1600000,217.1600000,215.0000000,215.5400000,5506320
20200831,000000,216.2000000,217.1100000,214.5700000,215.5000000,7453130
20200901,000000,216.2300000,217.3700000,215.6200000,217.1600000,4447840
20200902,000000,217.5900000,218.2000000,212.0500000,214.0000000,11987460
20200903,000000,214.0000000,215.4900000,209.7000000,210.4000000,11331950
20200904,000000,209.9700000,214.6000000,207.4000000,214.3500000,8635020
20200907,000000,213.7000000,216.1000000,212.6300000,213.9300000,7685170
20200908,000000,214.3000000,214.4700000,209.0300000,211.0400000,11310350
20200909,000000,210.7400000,211.9100000,210.0000000,211.1700000,6559820
20200910,000000,211.2800000,213.5200000,209.5000000,211.4000000,10393100
20200911,000000,212.8100000,215.1500000,210.9400000,214.3100000,6222700
20200914,000000,215.9300000,218.5000000,215.0800000,218.3000000,8409460
20200915,000000,218.3000000,221.9700000,218.0100000,221.8700000,9820980
20200916,000000,221.9300000,224.1000000,220.8100000,222.1100000,8108700
20200917,000000,220.9000000,222.2200000,220.0100000,221.8900000,7272720
20200918,000000,222.3000000,222.6900000,221.0100000,222.1400000,5554030
20200921,000000,221.7800000,222.3200000,216.5500000,219.2500000,10761450
20200922,000000,218.9700000,223.0000000,218.5500000,222.2400000,9508340
20200923,000000,222.1900000,223.3700000,220.5700000,221.8000000,10987020
20200924,000000,221.2100000,223.7000000,218.5200000,220.0000000,12259770
20200925,000000,220.7100000,221.7100000,219.0100000,220.9000000,10256980
20200928,000000,221.0000000,222.1100000,220.3300000,221.4700000,9675110
20200929,000000,221.8100000,221.9000000,218.1000000,219.9800000,13257110
20200930,000000,219.6600000,222.7000000,218.2000000,221.8000000,12895220
20201001,000000,222.0200000,222.5000000,219.3000000,220.0200000,19571370
20201002,000000,203.0000000,205.0000000,199.5000000,202.2500000,27490960
20201005,000000,203.0200000,205.5000000,201.0700000,202.6200000,10030850
20201006,000000,202.1400000,203.0300000,200.0500000,201.4900000,12817030
20201007,000000,202.0200000,202.6600000,199.9100000,201.1000000,6854740
20201008,000000,201.2100000,201.7600000,200.2200000,200.5000000,4779680
20201009,000000,200.0600000,201.3200000,197.5300000,198.7600000,10420930
20201012,000000,199.1100000,200.0800000,198.0000000,198.6000000,6217990
20201013,000000,198.6000000,198.8000000,195.0800000,195.4000000,8835230
20201014,000000,195.6200000,199.0000000,195.1000000,198.6200000,5829880
20201015,000000,198.7200000,198.7900000,194.0000000,195.2500000,6725690
20201016,000000,195.2800000,196.2100000,192.3000000,192.9900000,8064090
20201019,000000,193.4900000,194.4000000,192.5000000,193.0000000,5112620
20201020,000000,193.3000000,197.5000000,193.1000000,197.4300000,13808790
20201021,000000,197.7200000,199.9700000,195.9700000,197.5900000,9651330
20201022,000000,196.9600000,198.5300000,195.7800000,196.9700000,7795970
20201023,000000,196.7000000,200.7700000,196.6200000,200.3000000,11175750
20201026,000000,199.6700000,200.5000000,197.5500000,197.9800000,7936120
20201027,000000,197.9000000,199.2500000,195.8900000,196.7000000,4630260
20201028,000000,196.4300000,196.4900000,191.0100000,193.0400000,9070590
20201029,000000,193.7300000,196.5000000,191.5000000,195.0600000,6135570
20201030,000000,194.0300000,194.9200000,192.4900000,192.9100000,7180450
20201102,000000,192.6900000,196.8000000,189.2700000,196.2500000,9116860
20201103,000000,196.3200000,201.7600000,195.8200000,199.7800000,11274790
20201105,000000,203.5000000,209.5000000,202.0100000,205.0100000,13929570
20201106,000000,204.6500000,205.8000000,202.4300000,204.7900000,6891970
20201109,000000,206.1500000,215.4000000,206.1200000,212.3100000,21044300
20201110,000000,212.3100000,220.4000000,211.6000000,218.1900000,27290250
20201111,000000,219.2300000,224.2100000,219.2000000,221.8700000,30893010
20201112,000000,220.9000000,224.0200000,218.3000000,221.0000000,18382020
20201113,000000,221.0100000,222.7100000,219.0000000,221.0000000,10769880
20201116,000000,222.6300000,225.7700000,222.5600000,224.2200000,11505010
20201117,000000,224.2200000,226.0800000,221.5500000,223.0000000,9574110
20201118,000000,223.0300000,224.8700000,222.2400000,222.7000000,5593160
20201119,000000,222.9500000,222.9500000,219.0000000,220.8900000,6537360
20201120,000000,220.1200000,221.5000000,218.7600000,221.4900000,4705120
20201123,000000,222.5000000,224.4500000,219.7800000,221.7700000,6758800
20201124,000000,223.4700000,226.4000000,220.7000000,225.1800000,10008370
20201125,000000,225.9700000,230.1800000,224.6700000,229.9000000,13036690
20201126,000000,230.0000000,230.3800000,226.4300000,227.8600000,5813020
20201127,000000,228.2000000,230.5000000,226.8000000,229.9100000,4487710
20201130,000000,228.6300000,230.4500000,226.8100000,229.2500000,6181870
20201201,000000,229.5900000,235.2700000,229.1700000,235.1700000,13317900
20201202,000000,235.0100000,238.9900000,234.2000000,238.2500000,9138740
20201203,000000,238.5000000,240.3900000,236.4100000,238.5500000,6618010
20201204,000000,240.0000000,245.8900000,239.6700000,245.5000000,10168060
20201207,000000,244.2800000,249.7800000,243.5000000,248.6000000,10199620
20201208,000000,248.2200000,250.5700000,246.3700000,248.8400000,7152410
20201209,000000,249.3000000,252.0000000,249.0000000,249.4000000,8026160
20201210,000000,249.9300000,251.8000000,247.6600000,251.2900000,5749510
20201211,000000,251.9300000,253.8100000,249.9000000,250.9500000,7481550
20201214,000000,252.0000000,253.7000000,243.8000000,246.2600000,9772480
20201215,000000,245.8000000,248.7500000,242.7400000,245.3300000,8559050
20201216,000000,245.6000000,247.0000000,243.5500000,246.9700000,5806320
20201217,000000,248.0100000,252.3000000,248.0000000,249.0500000,9722560
20201218,000000,248.5900000,248.9800000,240.7000000,243.2500000,7670510
20201221,000000,238.4500000,238.8400000,230.5000000,233.6500000,12269290
20201222,000000,230.9400000,239.9900000,227.5000000,237.1200000,9457580
20201223,000000,236.8100000,242.8900000,235.2600000,242.0100000,5112310
20201224,000000,243.0000000,245.0000000,238.2200000,240.2600000,4992820
20201225,000000,240.3700000,241.8500000,239.5100000,241.0000000,1461290
20201228,000000,242.0000000,245.9900000,241.5000000,245.4400000,4239110
20201229,000000,246.0000000,247.5900000,242.7200000,243.8500000,4970960
20201230,000000,243.9700000,244.3800000,240.4100000,242.0600000,5041210
