<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20210104,000000,242.0900000,248.6500000,242.0900000,245.3900000,5843870
20210105,000000,246.5500000,248.4700000,243.7000000,247.2600000,3970010
20210106,000000,247.4900000,247.8400000,245.0000000,246.2000000,4662270
20210108,000000,247.3000000,253.4700000,247.3000000,252.4900000,8079010
20210111,000000,250.4500000,259.9400000,249.0700000,256.9200000,11457390
20210112,000000,258.0800000,261.9800000,254.6000000,257.6900000,9637670
20210113,000000,258.4300000,259.6000000,251.0200000,252.9300000,7879450
20210114,000000,253.4500000,255.7700000,249.1600000,255.3500000,5631380
20210115,000000,254.0100000,257.3500000,248.3000000,250.3400000,8109000
20210118,000000,249.4800000,255.1000000,246.6000000,253.8000000,8158610
20210119,000000,255.3700000,256.2400000,251.1200000,252.3000000,5405660
20210120,000000,252.3500000,255.2000000,251.7600000,254.0000000,4093360
20210121,000000,254.9900000,255.4500000,248.5500000,248.8000000,6287270
20210122,000000,247.8000000,248.0000000,241.9000000,244.2000000,8831860
20210125,000000,246.5000000,248.5000000,241.6500000,244.6100000,6988030
20210126,000000,243.3500000,247.4300000,242.7200000,247.1000000,4595690
20210127,000000,247.3300000,250.6200000,243.5700000,243.9800000,6238590
20210128,000000,242.9700000,245.6300000,240.9000000,244.8500000,6316790
20210129,000000,243.9900000,244.0000000,237.3200000,237.7800000,7564770
20210201,000000,239.5200000,243.0800000,238.1000000,242.7900000,4084530
20210202,000000,243.2100000,245.6400000,241.9500000,242.0700000,5118390
20210203,000000,242.6000000,245.7900000,240.2500000,242.0400000,4230800
20210204,000000,241.4400000,247.3100000,241.4400000,247.1300000,5633780
20210205,000000,247.6600000,249.5000000,246.1700000,247.8600000,4512700
20210208,000000,248.9800000,251.3700000,248.5800000,250.8400000,4277980
20210209,000000,251.0200000,251.7600000,246.0700000,247.8900000,5273740
20210210,000000,248.0000000,250.5900000,243.5000000,245.1600000,5890980
20210211,000000,245.1500000,245.9600000,242.8300000,243.2900000,3364420
20210212,000000,243.2300000,245.7500000,238.5800000,245.3300000,6245470
20210215,000000,246.9900000,249.7700000,246.5500000,249.7500000,4500490
20210216,000000,250.2000000,250.6800000,247.7000000,248.6400000,3033120
20210217,000000,248.1800000,251.7000000,246.1100000,248.3900000,5004980
20210218,000000,248.8000000,250.0000000,245.8100000,247.0000000,5735580
20210219,000000,246.1400000,251.1100000,244.0000000,249.6400000,4751990
20210220,000000,249.8300000,249.9000000,247.7400000,249.1200000,719110
20210222,000000,248.5400000,252.0000000,247.3000000,251.4800000,3646970
20210224,000000,248.6200000,251.1700000,247.8500000,250.2600000,5306240
20210225,000000,250.4000000,253.4400000,249.2700000,249.5100000,6149540
20210226,000000,248.9000000,250.9500000,246.3500000,249.4000000,4832860
20210301,000000,250.8000000,252.3200000,249.7200000,250.1000000,5986530
20210302,000000,249.3600000,253.9000000,248.7200000,252.7500000,7012520
20210303,000000,255.4800000,256.2600000,251.8100000,252.3000000,5861120
20210304,000000,252.8900000,256.5100000,249.1400000,250.2400000,8779200
20210305,000000,251.9700000,253.6300000,249.0000000,252.7500000,6393000
20210309,000000,252.9900000,259.3000000,252.3900000,258.8600000,7852240
20210310,000000,259.0000000,260.7000000,256.6400000,258.0000000,6750020
20210311,000000,259.3500000,259.9500000,256.2700000,258.4700000,4735170
20210312,000000,258.3000000,260.9600000,257.2900000,260.3900000,3927270
20210315,000000,261.2800000,264.8600000,259.8000000,264.8600000,4331230
20210316,000000,265.0000000,265.8200000,261.1000000,263.3300000,4475530
20210317,000000,262.9600000,264.3000000,255.0500000,257.6500000,9039650
20210318,000000,258.6000000,260.2300000,254.8500000,255.7900000,6261610
20210319,000000,256.3400000,260.6900000,255.3000000,260.6200000,5881040
